Patient_ID	GRB2	HRAS	ITCH	JUN	KRAS	LATS1	LATS2	LIMK1	LIMK2	MAP2K1	MAP2K2	MAPK1	MAPK3	MP	MYC	Metastasis	Microtubule_polimerization	NFE2L2	NR4A3	NRAS	Neuron_migration	mTORC1	mTORC2	PI3K	TSC	SOS1	SPART	SRC	STMN1	SYN1	TTL	Tubulin	WWP1	WWTR1	YAP1	YES1	ERBB2	ERBB3	ERBB4	FOXO	FUS	F_actin_dynamics	GIT1	GNA13	PAK1	PAK2	PAK3	PAK4	PDPK1	PLCG1	PPP1R12A	PPP1R12B	PRKACA	PRKCA	PRKCB	PRKCG	PRKCZ	PTEN	PTK2B	PTPN11	Proliferation	Protein_synthesis	RAC1	RAF1	RHEB	RHOA	ROCK1	ROCK2	RPS6KA1	SHC1	SIRT1	SNAI1	AKT1	AKT2	AKT3	AMOTL2	ARAF	ARHGEF1	ARHGEF11	ARHGEF12	ARHGEF6	ATF2	Actin_cytoskeleton_reorganization	Apoptosis	BAD	BCL2	BCL2L1	BRAF	CDC25B	CDC42	CDC42BPA	CDK1	CFL1	CFL2	CREB1	CTNNB1	CTTN	Cell_migration	DEPTOR	EGFR	EIF4E	EIF4EBP1	EPHA2
GSM2262024	0.856747	0.006855	0.804001	0.533132	0.048431	0.684156	0.218332	0.909401	0.913401	0.00843	0.9975	0.9999	0.9999	0.0121	0.06026	0.9998	0.0002	0.962	0.9999	0.291742	0.0002	0.9907	0.803525	0.059873	0.0	0.0	0.719799	0.072344	0.0	0.0043	0.999999	0.0001	0.719799	0.815199	0.628356	0.999999	0.629358	0.879737	0.0	0.0	0.019746	0.006	0.959708	0.7592	0.0	0.975213	0.0116	0.0379	0.988064	0.034073	0.008391	0.0061	0.039262	0.936837	0.977901	0.983807	0.990101	0.000775	0.028002	0.043807	0.999802	0.978858	0.96226	0.0	1.000002	0.729439	0.975557	0.71381	0.999802	0.992702	1.000002	0.0001	0.038341	0.077159	0.788297	0.011399	0.367666	0.65935	0.755501	0.759201	0.952526	0.999903	0.986803	0.0002	0.997377	0.0	0.0	0.0	0.999901	0.037429	0.034479	1.000001	0.0011	0.0063	0.999801	1.000001	0.0	0.98822	0.0	0.078297	1.000001	0.0	1.000001
synth_125_G3-G4	0.9974	0.0	0.8796	0.9994	0.405813	0.974685	0.32728	0.9997	0.9997	0.000481	0.991664	0.994481	0.994253	0.0198	0.20968	0.9996	0.0029	0.9971	0.999	0.00405	0.002443	0.9975	0.868402	0.0	0.0021	0.003112	0.3159	0.0	0.003148	0.0002	0.9575	0.003265	0.3159	0.092949	0.061524	0.996994	0.755499	0.875834	0.007346	0.001264	0.07178	0.0191	0.886916	0.773099	0.0001	0.88383	0.0	0.0001	0.9816	0.396637	0.0001	0.0197	0.0001	0.085034	0.9814	0.9814	0.98	0.088991	0.142355	0.0001	0.999599	0.923505	0.8859	0.001695	0.997799	0.7729	0.9818	0.7732	0.99716	0.816302	0.994337	0.0002	0.0	0.0	0.979821	0.00209	0.012372	0.041169	0.773099	0.773099	0.887056	0.9951	0.9821	0.0004	0.999899	0.0	0.007676	0.0003	0.988475	0.0	0.0	0.9898	0.0015	0.0198	0.9973	0.9986	0.0001	0.98	0.0	0.0002	0.998004	0.001917	0.9961
GSM2262230	0.992902	0.0002	0.899902	0.984096	0.033767	0.97714	0.000571	0.994462	0.996802	0.0	0.85503	0.993013	0.993015	0.140676	0.242689	0.999302	0.0005	0.857162	0.998502	0.000419	0.0008	0.9921	0.673323	0.0	0.0001	0.004705	0.7165	0.0	0.005277	0.0	0.999547	0.0005	0.7169	0.874473	0.913154	0.999699	0.644086	0.83538	0.0002	0.0	0.0	0.141886	0.999	0.9535	0.000389	0.998999	0.0	0.0	0.831944	0.608762	0.001	0.136763	0.0	0.817039	0.759311	0.722729	0.832368	0.0	0.0001	0.0	1.0	0.947223	0.999	0.002181	0.9999	0.9535	0.836477	0.897662	0.998889	0.969883	0.9999	0.0	0.0	0.0005	0.681835	0.055769	0.009093	0.765758	0.9535	0.938652	0.999	0.994759	0.9999	0.0	1.0	0.0002	0.0	0.0	0.999899	0.0	0.0	0.999899	0.0006	0.142048	0.998512	0.997299	0.0004	0.85664	0.0018	0.0	0.94972	0.050765	0.999899
GSM2261835	0.999897	0.0	0.442199	0.999899	0.0104	0.996187	0.613923	0.999699	0.999599	0.0	1.0	1.0	1.0	0.0025	0.0029	1.0	0.0	0.9987	0.9997	0.118438	0.0	1.0	1.0	0.0001	0.0	0.0	0.373	0.0001	0.0	0.0001	1.0	0.0	0.373	0.0001	0.0	1.0	0.8153	0.8556	0.0	0.0	0.0067	0.0001	0.9972	0.9659	0.0	0.9972	0.0001	0.0001	0.9998	0.982127	0.0001	0.0022	0.0001	0.07523	0.9999	0.9871	0.9902	0.0	0.0001	0.0	1.0	0.992841	0.9971	0.0	1.0	0.9657	0.9998	0.9655	1.0	0.820184	0.89333	0.0	0.0001	0.0001	0.989895	0.0	0.146202	0.012781	0.965901	0.965901	0.996901	1.000001	1.000001	0.0	1.000001	0.0005	0.0	0.0	1.0	0.0001	0.0001	1.0	0.0001	0.0001	1.0	1.0	0.0	0.997	0.0	0.0001	1.0	0.0	1.0
synth_51_Group_4	0.9892	0.0	0.1908	0.980191	0.030426	0.562116	0.0	0.9995	0.9997	0.000288	0.673038	0.865916	0.864206	0.0026	0.231586	0.999899	0.0009	0.995299	0.997899	0.450206	0.001	0.784567	0.9998	0.0	0.0001	0.124798	0.8136	0.0001	0.001	0.114658	0.9992	0.000887	0.8136	0.0008	0.0011	0.9989	0.571601	0.77637	0.128429	0.0003	0.07638	0.0026	0.751016	0.989002	0.124099	0.768174	0.0001	0.0002	0.9975	0.66498	0.0006	0.0026	0.0013	0.435659	0.964347	0.9974	0.8993	0.531482	0.0018	0.0	0.9999	0.920461	0.77559	0.134586	1.0	0.989	0.9974	0.989	0.9987	0.581612	1.0	0.287309	0.0012	0.0	0.899423	0.0002	0.45643	0.056614	0.989002	0.989002	0.555905	0.864242	0.997802	0.0001	0.870558	0.233723	0.0001	0.018084	0.9986	0.0001	0.0001	0.9996	0.0021	0.0026	0.9987	0.9983	0.127085	0.9972	0.0	0.0	1.0	3.8e-05	0.9983
synth_23_G3-G4	0.974481	0.09448	0.657499	0.988598	0.138909	0.999298	0.0041	0.998398	0.995902	0.001391	0.9948	0.998	0.997929	0.0047	0.081569	0.9995	0.0003	0.996095	0.998499	0.0008	0.0002	0.9974	0.9977	0.0	0.0016	0.000947	0.712399	0.0	0.0005	0.0004	0.999599	0.0003	0.712399	0.003553	0.0025	0.998597	0.8427	0.9232	0.00222	0.000774	0.0	0.005515	0.894658	0.9456	0.0	0.921974	0.0	0.0001	0.994998	0.709689	0.0002	0.0045	0.0	0.61246	0.995098	0.994898	0.990626	0.005699	0.0	0.0	0.9996	0.9998	0.903843	0.000655	0.999478	0.9456	0.995121	0.9456	0.998194	0.866573	0.9988	0.0	0.0	0.0	0.9903	0.0021	0.0012	0.822258	0.9456	0.9456	0.883301	0.9983	0.9951	0.000509	0.9999	0.0006	0.002234	0.0	0.997095	0.0	0.0001	0.9973	0.0001	0.0056	0.9981	0.998789	0.0	0.995361	0.0001	0.0	0.9998	0.0003	0.9976
synth_80_Group_3	0.9664	0.0	0.0422	0.9997	0.0001	1.0	0.005606	1.0	1.0	0.0	0.9873	0.9992	0.999168	0.260313	0.612223	0.9996	0.0	0.9893	0.9985	0.0	0.0	0.422212	0.326696	0.0	0.0005	0.0001	0.1094	0.0	0.0	0.0	1.0	0.0	0.1094	0.029	0.031629	0.9991	0.9023	0.9228	3.3e-05	0.000942	0.0	0.030931	0.150394	0.9549	0.0	0.145936	0.0	0.0	0.970233	0.014597	0.001114	0.253741	0.0	0.404078	0.966101	0.967101	0.967501	0.0	0.0	0.0	0.999238	0.908587	0.145061	0.0	0.999299	0.9549	0.970044	0.9549	0.998304	0.904799	0.991699	0.385618	0.0	0.0	0.972214	0.071052	0.0011	0.41864	0.952362	0.954902	0.144501	0.999102	0.970641	0.0004	1.000002	0.0	0.0026	0.0	0.9983	0.0	0.0	0.9982	0.0	0.0316	0.9985	0.993015	0.0	0.732796	0.573774	0.0	0.91226	0.079116	0.9991
GSM2262247	0.843258	0.0001	0.0015	0.946701	0.138641	0.754723	0.0001	0.767353	0.997701	0.090651	0.991783	0.997912	0.997999	0.007833	0.361558	0.999299	0.0006	0.995651	0.941934	0.0022	0.0007	0.710435	0.684595	0.0	0.0001	0.000451	0.1021	0.0	0.0016	0.0	0.999401	0.0006	0.1021	0.286353	0.400925	0.811945	0.65502	0.849147	0.0003	0.004	0.000246	0.011857	0.321628	0.9942	0.0	0.433958	0.0	0.0	0.98887	0.524302	0.0011	0.0069	0.0	0.019084	0.987183	0.988085	0.97327	0.122864	0.0	0.0002	0.9994	0.9971	0.408508	0.0003	0.9995	0.974565	0.989437	0.954277	0.858659	0.710892	0.901096	0.0033	0.0	0.0	0.972618	0.000321	0.007453	0.034655	0.808129	0.896554	0.313183	0.998249	0.988988	0.0005	0.878715	0.23135	0.1362	0.0	0.858759	0.0	0.049418	0.861638	0.0004	0.0126	0.9883	0.989334	0.0	0.9891	0.045503	0.0002	0.9976	0.0005	0.8123
GSM2261687	0.995448	0.0055	0.232099	0.995699	0.048855	0.950241	0.0007	0.952567	0.901148	0.0	0.9893	0.9977	0.9975	0.0108	0.375306	1.0	0.0007	0.9985	0.9974	0.0002	0.0007	0.917177	0.903755	0.0	0.0001	0.0002	0.8853	0.0	0.0017	0.0	0.9989	0.0011	0.8867	0.688555	0.688497	0.9992	0.6155	0.7301	0.0	0.0004	0.0008	0.0109	0.9011	0.8733	0.0	0.901	0.0	0.0	0.9892	0.028274	0.0	0.01079	0.0	0.952679	0.831535	0.979071	0.9892	0.026281	0.0	0.0	1.0	0.572112	0.901	0.0001	0.9999	0.8733	0.989253	0.8714	0.9979	0.982	1.0	0.0	0.0	0.0	0.9888	0.018937	0.0001	0.614139	0.8732	0.860282	0.9011	0.998	0.9893	0.0	1.0	0.000412	0.0	0.0	0.9995	0.0	0.0	0.9996	0.0	0.0108	0.9979	0.998142	0.0	0.9891	0.0	0.0	0.57973	0.414619	0.9992
GSM2261893	0.925871	0.020639	0.2627	0.182317	0.019947	0.666042	0.001609	0.860381	0.949407	0.0005	0.923177	0.965902	0.965901	0.067369	0.247839	0.999602	0.001898	0.925416	0.976004	0.090795	0.002248	0.524231	0.526714	0.069715	0.006508	0.027526	0.047821	0.044004	0.002114	0.062427	0.990874	0.00184	0.0463	0.349655	0.463329	0.960207	0.581102	0.8967	0.012353	0.003531	0.033146	0.059976	0.436845	0.9109	0.0073	0.487881	0.062048	0.047953	0.943617	0.069741	0.010759	0.066114	0.010263	0.68516	0.952443	0.943039	0.948381	0.000306	0.0139	0.053596	0.999598	0.493197	0.420873	0.017981	0.990169	0.87918	0.93553	0.738792	0.958145	0.793815	0.947329	0.024211	0.0106	0.467385	0.938601	0.00257	0.101938	0.596786	0.754815	0.564525	0.42306	0.967352	0.943401	0.0002	0.992762	0.492484	0.016083	0.012435	0.957853	0.046601	0.079865	0.958795	0.079952	0.060661	0.980001	0.982301	0.007584	0.931151	0.003876	0.062809	0.518202	0.0321	0.960211
GSM2261920	0.991373	0.0	0.7963	0.9925	0.002017	0.9998	0.10976	0.9997	0.9998	0.0	0.999854	0.999799	0.999799	0.107093	0.0009	0.999999	0.0	0.823119	0.999999	0.131602	0.0	0.9999	0.9999	0.11513	0.0	0.0	0.1605	0.177486	0.0001	0.138025	1.0	0.0	0.133891	0.018967	0.0066	0.998	0.477301	0.814181	0.0002	0.0	0.003106	0.0002	0.999099	0.891099	0.0001	0.999101	0.140254	0.187127	0.998501	0.892461	0.076363	0.106627	0.117004	0.59082	0.995601	0.980994	0.992861	0.030854	0.099366	0.063623	1.0	0.9965	0.907668	0.0	1.0	0.785699	0.905162	0.817391	0.9981	0.778713	0.997143	0.0	0.115116	0.107596	0.996301	0.0	0.297007	0.56266	0.891101	0.891101	0.885145	0.999953	0.984578	0.0	0.999901	0.0	0.002833	0.0	0.9975	0.18235	0.185816	0.997172	0.0	0.0002	1.0	1.0	0.0	0.893781	0.0	0.163845	1.0	0.0	0.9978
synth_69_Group_4	0.8768	0.0	0.0894	0.9028	0.0	0.9998	0.056137	0.9998	0.9998	0.0	1.0	1.0	1.0	0.0	0.0002	1.0	0.0	1.0	1.0	0.0	0.0	0.988165	0.9934	0.0	0.0048	0.0	0.7364	0.0	0.0	0.0	1.0	0.0	0.7364	0.039	0.268081	1.0	0.7387	0.9532	0.0025	0.0	0.024761	0.0	0.9998	0.9418	0.0	0.9998	0.0	0.0	1.0	0.987464	0.0	0.0	0.0	0.41308	1.0	1.0	0.9999	0.0003	0.0	0.0	1.0	0.97399	0.9998	0.0	0.9949	0.9418	1.0	0.9418	1.0	0.848638	1.0	0.0	0.0	0.0	0.9998	0.002911	0.0018	0.640213	0.9418	0.9418	0.9998	1.0	1.0	0.0	0.9992	0.0	0.0	0.002368	1.0	0.0	0.0	1.0	0.046794	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
