,0
GSM2261538,SHH
GSM2261539,Group_3
GSM2261540,Group_4
GSM2261541,Group_4
GSM2261542,Group_4
GSM2261543,SHH
GSM2261544,SHH
GSM2261545,Group_3
GSM2261546,Group_4
GSM2261547,SHH
GSM2261548,WNT
GSM2261549,SHH
GSM2261550,SHH
GSM2261551,WNT
GSM2261552,SHH
GSM2261553,WNT
GSM2261554,Group_3
GSM2261555,Group_3
GSM2261556,Group_4
GSM2261557,Group_4
GSM2261558,Group_4
GSM2261559,Group_3
GSM2261560,Group_3
GSM2261561,Group_3
GSM2261562,Group_4
GSM2261563,Group_4
GSM2261564,Group_4
GSM2261565,Group_3
GSM2261566,Group_3
GSM2261567,SHH
GSM2261568,SHH
GSM2261569,SHH
GSM2261570,SHH
GSM2261571,SHH
GSM2261572,Group_4
GSM2261573,Group_4
GSM2261574,SHH
GSM2261575,Group_4
GSM2261576,Group_4
GSM2261577,Group_3
GSM2261578,Group_4
GSM2261579,Group_4
GSM2261580,WNT
GSM2261581,Group_3
GSM2261582,Group_4
GSM2261583,Group_4
GSM2261584,Group_4
GSM2261585,Group_4
GSM2261586,SHH
GSM2261587,Group_4
GSM2261588,Group_4
GSM2261589,WNT
GSM2261590,Group_3
GSM2261591,WNT
GSM2261592,Group_3
GSM2261593,Group_3
GSM2261594,Group_3
GSM2261595,Group_4
GSM2261596,Group_4
GSM2261597,SHH
GSM2261598,SHH
GSM2261599,Group_4
GSM2261600,SHH
GSM2261601,Group_3
GSM2261602,SHH
GSM2261603,SHH
GSM2261604,Group_3
GSM2261605,Group_3
GSM2261606,Group_4
GSM2261607,G3-G4
GSM2261608,Group_4
GSM2261609,WNT
GSM2261610,Group_4
GSM2261611,Group_4
GSM2261612,Group_3
GSM2261613,Group_3
GSM2261614,SHH
GSM2261615,SHH
GSM2261616,Group_4
GSM2261617,SHH
GSM2261618,Group_4
GSM2261619,SHH
GSM2261620,SHH
GSM2261621,Group_4
GSM2261622,SHH
GSM2261623,Group_4
GSM2261624,Group_3
